final: {"best_epoch": 6.5, "config": {"batch_size": 8192, "bpr_weight": 0.5, "decay_every": 1.0, "decay_start_epoch": 0.0, "dropout": 0.2, "embedding_dropout": 0.1, "epochs": 8, "k": 16, "lr": 0.001, "max_runtime": 350, "patience_halves": 6, "recency_half_life": 7.0, "seed": 115, "step_decay_factor": 0.5, "subsample": null, "weight_decay": 1e-05}, "delta_vs_frozen_baseline": -0.00021063760098871676, "field_names": ["user", "video", "author", "tab", "dur_bucket10"], "gauc": 0.6717581684695095, "ndcg5": 0.537220556328513, "primary": 0.6044893623990113, "runtime_s": 41.4, "timed_out": false}
epoch 0.5 | loss 0.6342 | lr 0.001 | valid primary 0.599246
epoch 1.0 | loss 0.5479 | lr 0.001 | valid primary 0.602653
epoch 1.5 | loss 0.5317 | lr 0.0005 | valid primary 0.602851
epoch 2.0 | loss 0.5321 | lr 0.0005 | valid primary 0.604019
epoch 2.5 | loss 0.5265 | lr 0.00025 | valid primary 0.604700
epoch 3.0 | loss 0.5260 | lr 0.00025 | valid primary 0.604388
epoch 3.5 | loss 0.5233 | lr 0.000125 | valid primary 0.604771
epoch 4.0 | loss 0.5239 | lr 0.000125 | valid primary 0.604696
epoch 4.5 | loss 0.5222 | lr 6.25e-05 | valid primary 0.605089
epoch 5.0 | loss 0.5232 | lr 6.25e-05 | valid primary 0.604796
epoch 5.5 | loss 0.5221 | lr 3.125e-05 | valid primary 0.604839
epoch 6.0 | loss 0.5215 | lr 3.125e-05 | valid primary 0.604798
epoch 6.5 | loss 0.5225 | lr 1.5625e-05 | valid primary 0.604906
epoch 7.0 | loss 0.5213 | lr 1.5625e-05 | valid primary 0.605052
epoch 7.5 | loss 0.5216 | lr 7.8125e-06 | valid primary 0.604986
final: {"best_epoch": 4.5, "config": {"batch_size": 8192, "bpr_weight": 0.5, "decay_every": 1.0, "decay_start_epoch": 0.0, "dropout": 0.2, "embedding_dropout": 0.1, "epochs": 8, "k": 16, "lr": 0.001, "max_runtime": 350, "patience_halves": 6, "recency_half_life": 7.0, "seed": 116, "step_decay_factor": 0.5, "subsample": null, "weight_decay": 1e-05}, "delta_vs_frozen_baseline": 0.0003890730954121402, "field_names": ["user", "video", "author", "tab", "dur_bucket10"], "gauc": 0.6722341007056623, "ndcg5": 0.5379440454851621, "primary": 0.6050890730954122, "runtime_s": 36.8, "timed_out": false}
epoch 0.5 | loss 0.6383 | lr 0.001 | valid primary 0.596359
epoch 1.0 | loss 0.5482 | lr 0.001 | valid primary 0.602055
epoch 1.5 | loss 0.5313 | lr 0.0005 | valid primary 0.603905
epoch 2.0 | loss 0.5329 | lr 0.0005 | valid primary 0.603811
epoch 2.5 | loss 0.5263 | lr 0.00025 | valid primary 0.604133
epoch 3.0 | loss 0.5280 | lr 0.00025 | valid primary 0.604232
epoch 3.5 | loss 0.5249 | lr 0.000125 | valid primary 0.604068
epoch 4.0 | loss 0.5256 | lr 0.000125 | valid primary 0.604279
epoch 4.5 | loss 0.5234 | lr 6.25e-05 | valid primary 0.604260
epoch 5.0 | loss 0.5251 | lr 6.25e-05 | valid primary 0.604232
epoch 5.5 | loss 0.5245 | lr 3.125e-05 | valid primary 0.604342
epoch 6.0 | loss 0.5232 | lr 3.125e-05 | valid primary 0.604433
epoch 6.5 | loss 0.5237 | lr 1.5625e-05 | valid primary 0.604357
epoch 7.0 | loss 0.5239 | lr 1.5625e-05 | valid primary 0.604405
epoch 7.5 | loss 0.5231 | lr 7.8125e-06 | valid primary 0.604384
epoch 8.0 | loss 0.5237 | lr 7.8125e-06 | valid primary 0.604361
final: {"best_epoch": 6.0, "config": {"batch_size": 8192, "bpr_weight": 0.5, "decay_every": 1.0, "decay_start_epoch": 0.0, "dropout": 0.2, "embedding_dropout": 0.1, "epochs": 8, "k": 16, "lr": 0.001, "max_runtime": 350, "patience_halves": 6, "recency_half_life": 7.0, "seed": 117, "step_decay_factor": 0.5, "subsample": null, "weight_decay": 1e-05}, "delta_vs_frozen_baseline": -0.00026651211189765434, "field_names": ["user", "video", "author", "tab", "dur_bucket10"], "gauc": 0.6715128052688499, "ndcg5": 0.5373541705073548, "primary": 0.6044334878881024, "runtime_s": 41.7, "timed_out": false}
epoch 0.5 | loss 0.6418 | lr 0.001 | valid primary 0.597302
epoch 1.0 | loss 0.5481 | lr 0.001 | valid primary 0.601911
epoch 1.5 | loss 0.5323 | lr 0.0005 | valid primary 0.602710
epoch 2.0 | loss 0.5324 | lr 0.0005 | valid primary 0.602800
